text,label,symptoms,lebel_text
"I have been having migraines and headaches. I can't sleep. My whole body is shaking and shivering. I feel dizzy sometimes.",308.0,"['migraines headaches', "" can't sleep"", ' whole body shaking shivering', ' feel dizzy sometimes', '']",['drug reaction']
"I have asthma and I get wheezing and breathing problems. I also have fevers, headaches, and I feel tired all the time.",35.0,"['asthma wheezing breathing problems', ' fevers', ' headaches', ' feel tired time', '']",['allergy']
"Signs and symptoms of primary ovarian insufficiency are similar to those of menopause or estrogen deficiency. They include:  Irregular or skipped periods, which might be present for years or develop after a pregnancy or after stopping birth control pills Difficulty getting pregnant Hot flashes Night sweats Vaginal dryness Dry eyes Irritability or difficulty concentrating Decreased sexual desire  When to see a health care provider If you've missed your period for three months or more, see your health care provider to determine the cause. You can miss your period for a number of reasons — including pregnancy, stress, or a change in diet or exercise habits — but it's best to get evaluated whenever your menstrual cycle changes. Even if you don't mind not having periods, it's advisable to see your provider to find out what's causing the change. Low estrogen levels can lead to bone loss and an increased risk of heart disease.",798.0,"['signs symptoms primary ovarian insufficiency similar menopause estrogen deficiency', ' include:  irregular skipped periods', "" present years develop pregnancy stopping birth control pills difficulty pregnant hot flashes night sweats vaginal dryness dry eyes irritability difficulty concentrating decreased sexual desire  see health care provider you've missed period months more"", ' see health care provider determine cause', ' can miss period number reasons — including pregnancy', ' stress', "" change diet exercise habits — it's best evaluated menstrual cycle changes"", "" don't mind periods"", "" it's advisable see provider find what's causing change"", ' low estrogen levels can lead bone loss increased risk heart disease', '']",['premature ovarian failure']
"cough,high_fever,breathlessness,family_history,mucoid_sputum",149.0,"['cough', 'high fever', 'breathlessness', 'family history', 'mucoid sputum']",['bronchial asthma']
"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain",596.0,"['chills', 'vomiting', 'high fever', 'sweating', 'headache', 'nausea', 'diarrhoea', 'muscle pain']",['malaria']
"Posterior cortical atrophy symptoms vary among people. Symptoms also can vary over time. They tend to gradually get worse. Common symptoms include having trouble with:  Reading, spelling or math. Driving. Getting dressed. Telling the difference between objects that are moving and those that are still. Judging how far away objects are. Using everyday objects or tools. Identifying left from right.  Other common symptoms include:  Anxiety. Confusion. Changes in behavior and personality.  Memory problems may occur later in the disease. Causes The most common cause of posterior cortical atrophy is a form of Alzheimer's disease that's not typical. It affects the back of the brain. Other less common causes include corticobasal degeneration, Lewy body dementia and Creutzfeldt-Jakob disease. Researchers are looking at potential gene variations that may be related to the condition. Risk factors Further study is needed to determine whether the risk factors for Alzheimer's disease may play a role in posterior cortical atrophy.                  By Mayo Clinic Staff By Mayo Clinic Staff  Posterior cortical atrophy care at Mayo Clinic ",785.0,"['posterior cortical atrophy symptoms vary people', ' symptoms can vary time', ' tend gradually worse', ' common symptoms include trouble with:  reading', ' spelling math', ' driving', ' dressed', ' telling difference objects moving still', ' judging far away objects are', ' using everyday objects tools', ' identifying left right', '  common symptoms include:  anxiety', ' confusion', ' changes behavior personality', '  memory problems may occur later disease', "" causes common cause posterior cortical atrophy form alzheimer's disease that's typical"", ' affects back brain', ' common causes include corticobasal degeneration', ' lewy body dementia creutzfeldt-jakob disease', ' researchers looking potential gene variations may condition', "" risk factors study needed determine risk factors alzheimer's disease may play role posterior cortical atrophy"", '                  mayo clinic staff mayo clinic staff  posterior cortical atrophy care mayo clinic ']",['posterior cortical atrophy']
"I've been having back pain, a cough, and numbness in my arms and legs. My neck hurts too, and I've been feeling dizzy and off balance.",186.0,"[""i've back pain"", ' cough', ' numbness arms legs', ' neck hurts too', "" i've feeling dizzy balance"", '']",['cervical spondylosis']
"yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",466.0,"['yellowish skin', 'nausea', 'loss of appetite', 'yellowing of eyes', 'family history']",['hepatitis c']
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",700.0,"['joint pain', 'neck pain', 'knee pain', 'hip joint pain', 'swelling joints', 'painful walking']",['osteoarthristis']
"An unusual sensation (aura) may precede a temporal lobe seizure, acting as a warning. Not everyone who has temporal lobe seizures has auras, and not everyone who has auras remembers them. The aura is actually the first part of a focal seizure before consciousness is impaired. Examples of auras include:  A sudden sense of unprovoked fear or joy A deja vu experience — a feeling that what's happening has happened before A sudden or strange odor or taste A rising sensation in the abdomen, similar to being on a roller coaster  Sometimes temporal lobe seizures impair your ability to respond to others. This type of temporal lobe seizure usually lasts 30 seconds to two minutes. Characteristic signs and symptoms include:  Loss of awareness of surroundings Staring Lip smacking Repeated swallowing or chewing Unusual finger movements, such as picking motions  After a temporal lobe seizure, you may have:  A period of confusion and difficulty speaking Inability to recall what occurred during the seizure Unawareness of having had a seizure Extreme sleepiness  In extreme cases, what starts as a temporal lobe seizure evolves into a generalized tonic-clonic (grand mal) seizure — featuring convulsions and loss of consciousness.",971.0,"['unusual sensation (aura) may precede temporal lobe seizure', ' acting warning', ' who temporal lobe seizures auras', ' who auras remembers them', ' aura actually first part focal seizure consciousness impaired', "" examples auras include:  sudden sense unprovoked fear joy deja vu experience — feeling what's happening happened sudden strange odor taste rising sensation abdomen"", ' similar being roller coaster  temporal lobe seizures impair ability respond others', ' type temporal lobe seizure lasts 30 seconds minutes', ' characteristic signs symptoms include:  loss awareness surroundings staring lip smacking repeated swallowing chewing unusual finger movements', ' picking motions  temporal lobe seizure', ' may have:  period confusion difficulty speaking inability recall occurred seizure unawareness seizure extreme sleepiness  extreme cases', ' starts temporal lobe seizure evolves generalized tonic-clonic (grand mal) seizure — featuring convulsions loss consciousness', '']",['temporal lobe seizure']
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",33.0,"['vomiting', 'yellowish skin', 'abdominal pain', 'swelling of stomach', 'distention of abdomen', 'history of alcohol consumption', 'fluid overload']",['alcoholic hepatitis']
